date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
13.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
14.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
15.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
16.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
17.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
18.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
19.11.20;Berlin;moderate;strict;closed;open;open;open;closed;closed
20.11.20;Berlin;moderate;strict;closed;open;open;open;closed;closed
21.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
22.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
23.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
24.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
25.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
26.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
27.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
28.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
29.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
30.11.20;Berlin;strict;strict;closed;open;open;open;closed;closed
01.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
02.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
03.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
04.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
05.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
06.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
07.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
08.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
09.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
10.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
11.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
12.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
13.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
14.12.20;Berlin;strict;strict;closed;open;open;open;closed;closed
