date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
2020-03-22;Zurich;0;3;2;2;2;0;2;2
2020-03-23;Zurich;0;3;2;2;2;0;2;2
2020-03-24;Zurich;0;3;2;2;2;0;2;2
2020-03-25;Zurich;0;3;2;2;2;0;2;2
2020-03-26;Zurich;0;3;2;2;2;0;2;2
2020-03-27;Zurich;0;3;2;2;2;0;2;2
2020-03-28;Zurich;0;3;2;2;2;0;2;2
2020-03-29;Zurich;0;3;2;2;2;0;2;2
2020-03-30;Zurich;0;3;2;2;2;0;2;2
2020-03-31;Zurich;0;3;2;2;2;0;2;2
2020-04-01;Zurich;0;3;2;2;2;0;2;2
2020-04-02;Zurich;0;3;2;2;2;0;2;2
2020-04-03;Zurich;0;3;2;2;2;0;2;2
2020-04-04;Zurich;0;3;2;2;2;0;2;2
2020-04-05;Zurich;0;3;2;2;2;0;2;2
2020-04-06;Zurich;0;3;2;2;2;0;2;2
2020-04-07;Zurich;0;3;2;2;2;0;2;2
2020-04-08;Zurich;0;3;2;2;2;0;2;2
2020-04-09;Zurich;0;3;2;2;2;0;2;2
2020-04-10;Zurich;0;3;2;2;2;0;2;2
2020-04-11;Zurich;0;3;2;2;2;0;2;2
2020-04-12;Zurich;0;3;2;2;2;0;2;2
2020-04-13;Zurich;0;3;2;2;2;0;2;2
2020-04-14;Zurich;0;3;2;2;2;0;2;2
2020-04-15;Zurich;0;3;2;2;2;0;2;2
2020-04-16;Zurich;0;3;2;2;2;0;2;2
2020-04-17;Zurich;0;3;2;2;2;0;2;2
2020-04-18;Zurich;0;3;2;2;2;0;2;2
2020-04-19;Zurich;0;3;2;2;2;0;2;2
2020-04-20;Zurich;0;3;2;2;2;0;2;2
2020-04-21;Zurich;0;3;2;2;2;0;2;2
2020-04-22;Zurich;0;3;2;2;2;0;2;2
2020-04-23;Zurich;0;3;2;2;2;0;2;2
2020-04-24;Zurich;0;3;2;2;2;0;2;2
2020-04-25;Zurich;0;3;2;2;2;0;2;2
